NVDA
PLTR
TSLA
AAPL
HOOD
AMD
MSFT
GOOGL
META
AMZN
SPY
QQQ
RIVN
COIN
GOOG
INTC
MSTR
BABA
SOFI
CVNA
V
HIMS
WMT
NFLX
JPM
F
NIO
ROOT
OPEN
PDD
