symbol,entry_date,exit_date,entry,exit,stop,target1,hold_days,path,r_multiple
AMD,2023-05-26,2023-05-31,127.02999877929688,119.20074710845947,119.20074710845947,146.0844985961914,2,stop_first,-1.0
AMD,2023-11-07,2024-02-08,113.44999694824219,169.35000610351562,107.40349788665772,130.4674964904785,63,t1_then_time,6.029729596815807
AMD,2023-11-10,2024-02-13,118.58999633789062,171.5399932861328,112.52774677276611,136.3784957885742,63,t1_then_time,5.834343805794212
AMD,2023-11-14,2024-02-15,119.87999725341797,176.75999450683594,113.76149768829346,137.86199684143065,63,t1_then_time,6.117676077656732
AMD,2023-11-22,2023-12-04,122.51000213623047,116.41025314331054,116.41025314331054,140.88650245666503,7,stop_first,-1.0
AMD,2023-12-07,2024-03-11,128.3699951171875,198.38999938964844,122.31524600982667,147.6254943847656,63,t1_then_time,7.37235366462218
AMD,2023-12-08,2024-03-12,128.9199981689453,202.75999450683594,122.7632490158081,148.2579978942871,63,t1_then_time,7.567142476135554
AMD,2023-12-11,2024-03-13,134.41000366210938,194.7899932861328,128.20975494384766,154.57150421142578,63,t1_then_time,6.495020912315932
AMD,2023-12-12,2024-03-14,137.61000061035156,187.05999755859375,131.0115015029907,158.2515007019043,63,t1_then_time,5.311169699303699
AMD,2023-12-27,2024-01-02,146.07000732421875,139.00500583648682,139.00500583648682,167.98050842285156,3,stop_first,-1.0
AMD,2023-12-28,2024-01-02,148.75999450683594,141.6394926071167,141.6394926071167,171.07399368286133,2,stop_first,-1.0
AMD,2024-01-16,2024-04-16,158.74000549316406,163.4600067138672,151.03750343322753,182.55100631713867,63,t1_then_time,1.8520606565675373
AMD,2024-01-17,2024-04-17,160.1699981689453,154.02000427246094,152.27249565124512,184.1954978942871,63,t1_then_time,1.131718906628654
AMD,2024-01-18,2024-04-17,162.6699981689453,154.1544952392578,154.1544952392578,187.0704978942871,62,t1_then_stop,0.9327104298370089
AMD,2024-01-19,2024-01-22,174.22999572753906,165.17899284362792,165.17899284362792,200.3644950866699,1,stop_first,-1.0
AMD,2024-01-24,2024-01-31,178.2899932861328,168.00823898315429,168.00823898315429,205.03349227905272,5,stop_first,-1.0
AMD,2024-02-29,2024-03-19,192.52999877929688,180.67474708557128,180.67474708557128,221.40949859619138,13,t1_then_stop,0.7180044997348738
