symbol,entry_date,exit_date,entry,exit,stop,target1,hold_days,path,r_multiple
AAPL,2017-01-09,2017-04-10,27.45204734802246,33.17379379272461,26.950600754424595,31.56985445022583,63,t1_then_time,9.811168001269078
AAPL,2017-01-11,2017-04-12,27.627382278442383,32.856353759765625,27.17230828654033,31.771489620208737,63,t1_then_time,10.298411895517603
AAPL,2017-01-17,2017-04-18,27.685070037841797,32.71731948852539,27.247472355762064,31.837830543518063,63,t1_then_time,10.494811024486056
AAPL,2017-01-25,2017-04-26,28.118797302246094,33.29196548461914,27.686564706726287,32.336616897583006,63,t1_then_time,10.86334982027012
AAPL,2017-02-01,2017-05-03,29.703763961791992,34.075138092041016,29.170307890703157,34.159328556060785,63,t1_then_time,8.273351080718962
AAPL,2017-02-07,2017-05-09,30.345129013061523,35.68088912963867,29.794024170101288,34.896898365020746,63,t1_then_time,8.97064287752031
AAPL,2017-02-09,2017-05-11,30.682920455932617,35.81885528564453,30.13309998788414,35.285358524322504,63,t1_then_time,8.855957047822367
AAPL,2017-02-13,2017-05-15,30.884504318237305,36.22602081298828,30.330336289559902,35.5171799659729,63,t1_then_time,8.999248987975129
AAPL,2017-02-14,2017-05-16,31.285354614257812,36.172508239746094,30.734163145516003,35.97815780639648,63,t1_then_time,8.690225956775851
AAPL,2017-02-15,2017-05-17,31.398897171020508,34.958003997802734,30.83270105979579,36.108731746673584,63,t1_then_time,7.302188445403735
AAPL,2017-02-21,2017-05-22,31.674633026123047,35.828163146972656,31.1023426686871,36.425827980041504,63,t1_then_time,7.779901372674035
AAPL,2017-02-22,2017-05-23,31.7696475982666,35.78395080566406,31.19018723734152,36.53509473800659,63,time_only,6.927658004058817
AAPL,2017-03-01,2017-03-09,32.39061737060547,31.782899674372977,31.782899674372977,37.24920997619628,6,stop_first,-1.0
AAPL,2017-03-15,2017-06-14,32.54586410522461,33.77372360229492,32.110366977850894,37.4277437210083,63,time_only,2.8194433898450137
AAPL,2017-03-20,2017-03-27,32.77756881713867,32.343115069818445,32.343115069818445,37.69420413970947,5,stop_first,-1.0
AAPL,2017-03-28,2017-04-11,33.31977844238281,32.767325953125564,32.767325953125564,38.317745208740234,10,stop_first,-1.0
AAPL,2017-03-29,2017-04-11,33.39392852783203,32.87379991576774,32.87379991576774,38.40301780700683,9,stop_first,-1.0
AAPL,2017-04-04,2017-04-11,33.54453659057617,33.0257984751979,33.0257984751979,38.576217079162596,5,stop_first,-1.0
AAPL,2017-05-01,2017-05-03,33.96391296386719,33.45455840087232,33.45455840087232,39.05849990844726,2,stop_first,-1.0
AAPL,2017-05-02,2017-05-03,34.17941665649414,33.662414453492424,33.662414453492424,39.30632915496826,1,stop_first,-1.0
AAPL,2017-05-05,2017-06-12,34.5153923034668,33.953554270721604,33.953554270721604,39.692701148986814,25,stop_first,-1.0
AAPL,2017-05-08,2017-06-09,35.453819274902344,34.82542217305823,34.82542217305823,40.77189216613769,23,stop_first,-1.0
AAPL,2017-05-09,2017-05-17,35.68088912963867,35.037026026322394,35.037026026322394,41.03302249908447,6,stop_first,-1.0
AAPL,2017-05-12,2017-05-17,36.319091796875,35.66884244661916,35.66884244661916,41.766955566406246,3,stop_first,-1.0
AAPL,2017-08-02,2017-09-21,36.561058044433594,35.687343102315566,35.687343102315566,42.04521675109863,35,stop_first,-1.0
AAPL,2017-08-08,2017-08-10,37.24510192871094,36.330203462348216,36.330203462348216,42.83186721801758,2,stop_first,-1.0
AAPL,2017-08-15,2017-08-18,37.74640655517578,36.72426834585153,36.72426834585153,43.40836753845215,3,stop_first,-1.0
AAPL,2017-08-29,2017-09-13,38.0523796081543,36.99839864981618,36.99839864981618,43.76023654937744,10,stop_first,-1.0
AAPL,2017-08-30,2017-09-08,38.1551628112793,37.2480223434374,37.2480223434374,43.87843723297119,6,stop_first,-1.0
AAPL,2017-08-31,2017-09-08,38.30698776245117,37.4175661154455,37.4175661154455,44.05303592681884,5,stop_first,-1.0
AAPL,2017-10-30,2018-01-31,38.942325592041016,39.24875259399414,38.14856613021882,44.783674430847164,63,time_only,0.3860451644250946
AAPL,2017-10-31,2017-11-02,39.484214782714844,38.66155126724195,38.66155126724195,45.40684700012207,2,stop_first,-1.0
AAPL,2017-11-03,2017-11-29,40.29240036010742,39.31575025573459,39.31575025573459,46.33626041412353,17,stop_first,-1.0
AAPL,2017-11-08,2017-11-14,41.16600036621094,40.167100519471475,40.167100519471475,47.34090042114257,4,stop_first,-1.0
AAPL,2017-12-18,2017-12-26,41.35617446899414,40.43139353114438,40.43139353114438,47.55960063934326,5,stop_first,-1.0
AAPL,2018-03-12,2018-03-19,42.772281646728516,41.51820719638,41.51820719638,49.18812389373779,5,stop_first,-1.0
AAPL,2018-05-04,2018-08-03,43.2689208984375,49.144351959228516,41.8577332472693,49.75925903320312,63,time_only,4.163465472453122
AAPL,2018-05-07,2018-08-06,43.58196258544922,49.39952850341797,42.18613521578515,50.119256973266594,63,time_only,4.167826225795281
AAPL,2018-05-10,2018-06-19,44.7306022644043,43.35224965825275,43.35224965825275,51.44019260406494,27,stop_first,-1.0
AAPL,2018-06-01,2018-06-19,44.95033264160156,43.995209125565495,43.995209125565495,51.69288253784179,12,stop_first,-1.0
AAPL,2018-06-04,2018-06-18,45.32603073120117,44.444479965942115,44.444479965942115,52.12493534088134,10,stop_first,-1.0
AAPL,2018-06-06,2018-06-08,45.83403778076172,44.989621123164945,44.989621123164945,52.709143447875974,2,stop_first,-1.0
AAPL,2018-07-25,2018-07-27,46.032508850097656,45.08035086092455,45.08035086092455,52.9373851776123,2,stop_first,-1.0
AAPL,2018-08-01,2018-10-30,47.61087417602539,50.575767517089844,46.541579358008796,54.75250530242919,63,t1_then_time,4.725789509676373
AAPL,2018-08-02,2018-10-31,49.00257110595703,51.894107818603516,47.83510146270472,56.35295677185058,63,time_only,2.4767553737768346
AAPL,2018-08-06,2018-11-02,49.39952850341797,49.19576644897461,48.24091850176461,56.80945777893066,63,time_only,-0.17586768123232768
AAPL,2018-08-16,2018-10-29,50.58049392700195,49.335943327383674,49.335943327383674,58.16756801605224,51,stop_first,-1.0
AAPL,2018-08-17,2018-10-29,51.59059524536133,50.30091241720059,50.30091241720059,59.32918453216552,50,stop_first,-1.0
AAPL,2018-08-28,2018-10-11,52.09327697753906,50.82136467759186,50.82136467759186,59.907268524169915,31,stop_first,-1.0
AAPL,2018-08-29,2018-09-10,52.870975494384766,51.72976920578993,51.72976920578993,60.80162181854248,7,stop_first,-1.0
AAPL,2018-08-30,2018-09-10,53.35707473754883,52.253959129719554,52.253959129719554,61.36063594818115,6,stop_first,-1.0
AAPL,2018-10-03,2018-10-05,55.02633285522461,53.33674097935726,53.33674097935726,63.2802827835083,2,stop_first,-1.0
AAPL,2019-07-31,2019-08-01,51.103816986083984,49.927031944363314,49.927031944363314,58.76938953399658,1,stop_first,-1.0
AAPL,2019-09-11,2019-10-03,53.83831787109375,52.09704615869366,52.09704615869366,61.91406555175781,16,stop_first,-1.0
AAPL,2019-10-10,2020-01-10,55.403446197509766,74.94879913330078,53.89098268798601,63.713963127136225,63,t1_then_time,9.2087741919105
AAPL,2019-10-11,2020-01-13,56.8770866394043,76.55004119873047,55.33789480210888,65.40864963531493,63,t1_then_time,9.162119000317785
AAPL,2019-10-21,2020-01-22,57.91248321533203,76.72876739501953,56.36426287135789,66.59935569763184,63,t1_then_time,8.882184234638444
AAPL,2019-10-23,2020-01-24,58.55539321899414,76.87611389160156,57.07579766383144,67.33870220184326,63,t1_then_time,9.159269761551851
AAPL,2019-10-24,2019-10-31,58.65171432495117,57.15785157383053,57.15785157383053,67.44947147369385,5,stop_first,-1.0
AAPL,2019-10-25,2019-10-31,59.374088287353516,57.87715576487594,57.87715576487594,68.28020153045654,4,stop_first,-1.0
AAPL,2019-10-28,2019-10-29,59.968841552734375,58.527711893798326,58.527711893798326,68.96416778564452,1,stop_first,-1.0
AAPL,2019-11-01,2020-02-04,61.59899139404297,77.00652313232422,60.032530462874824,70.83884010314941,63,t1_then_time,7.86721837646075
AAPL,2019-11-04,2020-02-05,62.003509521484375,77.6344223022461,60.466304542033484,71.30403594970703,63,t1_then_time,8.109341155624605
AAPL,2019-11-07,2020-02-10,62.65578842163086,77.84288024902344,61.16640964088399,72.05415668487548,63,t1_then_time,8.253595528703752
AAPL,2019-11-11,2020-02-12,63.32478332519531,79.21070861816406,61.89331444129399,72.8235008239746,63,t1_then_time,8.866641488763888
AAPL,2019-11-13,2019-12-03,63.87299728393555,62.42876508522879,62.42876508522879,73.45394687652588,13,stop_first,-1.0
AAPL,2019-11-15,2019-12-03,64.18456268310547,62.74001144295632,62.74001144295632,73.81224708557129,11,stop_first,-1.0
AAPL,2019-11-18,2019-11-20,64.50820922851562,63.0884059033918,63.0884059033918,74.18444061279297,2,stop_first,-1.0
AAPL,2019-12-06,2020-02-28,65.38005065917969,63.978793115234595,63.978793115234595,75.18705825805664,56,t1_then_stop,2.999359429411654
AAPL,2019-12-12,2020-02-28,65.56118774414062,64.07660782739404,64.07660782739404,75.39536590576171,52,t1_then_stop,2.8121080417053
AAPL,2019-12-13,2020-02-28,66.45237731933594,64.9389970210054,64.9389970210054,76.42023391723632,51,t1_then_stop,2.7932424879907276
AAPL,2019-12-16,2020-02-28,67.58992004394531,66.03125249230204,66.03125249230204,77.7284080505371,50,t1_then_stop,2.752293279571711
AAPL,2019-12-23,2020-02-27,68.58978271484375,67.03093295377619,67.03093295377619,78.87825012207031,44,t1_then_stop,2.800018919135801
AAPL,2019-12-24,2020-02-27,68.65495300292969,67.14482933578567,67.14482933578567,78.95319595336913,43,t1_then_stop,2.9097349688968683
AAPL,2019-12-26,2020-02-27,70.01712036132812,68.48797501382522,68.48797501382522,80.51968841552734,42,stop_first,-1.0
AAPL,2020-01-02,2020-01-06,72.53851318359375,70.9012309244529,70.9012309244529,83.4192901611328,2,stop_first,-1.0
AAPL,2020-01-08,2020-02-24,73.22440338134766,71.53875827554606,71.53875827554606,84.2080638885498,31,stop_first,-1.0
