symbol,entry_date,exit_date,entry,exit,stop,target1,hold_days,path,r_multiple
WMT,2024-05-31,2025-08-29,64.93989562988281,96.06999969482422,45.457926940917964,74.68087997436523,65,trail,1.5978931370819007
WMT,2024-07-05,2025-08-29,69.16651916503906,96.06999969482422,48.41656341552734,79.54149703979492,60,trail,1.2965560435191887
WMT,2024-08-30,2025-08-29,76.48424530029297,96.06999969482422,53.538971710205075,87.95688209533691,52,trail,0.8535855681839454
WMT,2024-09-13,2025-08-29,79.82170104980469,96.06999969482422,55.87519073486328,91.79495620727539,50,trail,0.6785246965559495
WMT,2024-11-22,2025-08-29,89.56668090820312,96.06999969482422,62.696676635742186,103.00168304443359,40,trail,0.24202894501532862
WMT,2024-11-29,2025-08-29,91.60678100585938,96.06999969482422,64.12474670410155,105.34779815673828,39,trail,0.16240496027178616
WMT,2024-12-06,2025-08-29,94.77588653564453,96.06999969482422,66.34312057495117,108.9922695159912,38,trail,0.0455148528626699
PG,2016-01-29,2021-02-12,63.027469635009766,114.0844497680664,44.119228744506835,72.48159008026123,263,moon_40w,3.0231250062667927
PG,2016-03-04,2022-06-03,64.41627502441406,134.36253356933594,45.091392517089844,74.07871627807617,326,moon_40w,3.5076434561900327
PG,2016-09-30,2022-06-03,70.3604507446289,134.36253356933594,49.252315521240234,80.91451835632324,296,moon_40w,3.2038502388507837
PG,2017-01-20,2022-06-03,69.6341552734375,134.36253356933594,48.74390869140625,80.07927856445312,280,moon_40w,3.2720341179282295
PG,2018-11-09,2025-01-17,77.94237518310547,158.08026123046875,54.559662628173825,89.63373146057128,323,moon_40w,3.389018189622884
PG,2019-02-01,2025-01-17,82.86041259765625,158.08026123046875,58.00228881835937,95.28947448730467,311,moon_40w,3.1829633749145225
PG,2019-02-22,2025-01-17,85.22370910644531,158.08026123046875,59.656596374511714,98.0072654724121,308,moon_40w,3.1073610754763923
PG,2019-03-15,2025-01-17,87.08545684814453,158.08026123046875,60.959819793701165,100.1482753753662,305,moon_40w,3.057848090120736
PG,2019-03-29,2025-08-29,88.45413208007812,156.19500732421875,61.91789245605468,101.72225189208983,335,trail,2.552768448126853
